French,English
partie,part
histoire,history
seulement,only
pensais,thought
aide,help
demande,request
mois,month
frère,brother
car,because
aucun,no
chaque,each
parlé,speak
arrivé,come
bébé,baby
heures,hours
vont,will
revoir,meet again
aucune,any
compris,understood
savais,knew
étaient,were
attention,Warning
pourrais,could
affaire,case
donner,give
type,type
corps,body
yeux,eyes
écoute,listen
dont,whose
premier,first
perdu,lost
première,first
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
tellement,so much
point,point
venu,came
suite,after
pardon,sorry
vers,towards
chambre,bedroom
droit,law
aimerais,would like to
mari,husband
enfin,finally
eau,water
attendez,Wait
parti,left
nouvelle,new
arrêter,Stop
compte,account
loin,far
fin,end
croire,believe
chérie,sweetheart
filles,girls
jouer,to play
bureau,office
